date,followers,followers_growth,username,channel,link_profile
2019-03-20,36159,50,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-21,36168,9,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-22,36190,22,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-23,36229,39,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-24,36254,25,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-25,36281,27,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-26,36264,-17,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-27,36268,4,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-28,36278,10,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-29,36298,20,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-30,36328,30,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-03-31,36333,5,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-01,36335,2,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-02,36341,6,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-03,36339,-2,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-04,36360,21,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-05,36385,25,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-06,36397,12,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-07,36407,10,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-08,36436,29,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-09,36451,15,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-10,36447,-4,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-11,36445,-2,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-04-12,36462,17,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
